,row,col,cluster_cell_list
0,48,2,"(1170, -1, 1116, 1117, -1, 1143, 1144, -1, 1171, -1, 1197, 1198, -1, 1224, 1225)"
1,48,3,"(1171, 1116, 1117, 1118, 1143, 1144, 1145, 1170, 1172, 1197, 1198, 1199, 1224, 1225, 1226)"
2,48,4,"(1172, 1117, 1118, 1119, 1144, 1145, 1146, 1171, 1173, 1198, 1199, 1200, 1225, 1226, 1227)"
3,48,5,"(1173, 1118, 1119, 1120, 1145, 1146, 1147, 1172, 1174, 1199, 1200, 1201, 1226, 1227, 1228)"
4,48,6,"(1174, 1119, 1120, 1121, 1146, 1147, 1148, 1173, 1175, 1200, 1201, 1202, 1227, 1228, 1229)"
5,48,7,"(1175, 1120, 1121, 1122, 1147, 1148, 1149, 1174, 1176, 1201, 1202, 1203, 1228, 1229, 1230)"
6,48,8,"(1176, 1121, 1122, 1123, 1148, 1149, 1150, 1175, 1177, 1202, 1203, 1204, 1229, 1230, 1231)"
7,48,9,"(1177, 1122, 1123, 1124, 1149, 1150, 1151, 1176, 1178, 1203, 1204, 1205, 1230, 1231, 1232)"
8,48,10,"(1178, 1123, 1124, 1125, 1150, 1151, 1152, 1177, 1179, 1204, 1205, 1206, 1231, 1232, 1233)"
9,48,11,"(1179, 1124, 1125, 1126, 1151, 1152, 1153, 1178, 1180, 1205, 1206, 1207, 1232, 1233, 1234)"
10,48,12,"(1180, 1125, 1126, 1127, 1152, 1153, 1154, 1179, 1181, 1206, 1207, 1208, 1233, 1234, 1235)"
11,48,13,"(1181, 1126, 1127, 1128, 1153, 1154, 1155, 1180, 1182, 1207, 1208, 1209, 1234, 1235, 1236)"
12,48,14,"(1182, 1127, 1128, 1129, 1154, 1155, 1156, 1181, 1183, 1208, 1209, 1210, 1235, 1236, 1237)"
13,48,15,"(1183, 1128, 1129, 1130, 1155, 1156, 1157, 1182, 1184, 1209, 1210, 1211, 1236, 1237, 1238)"
14,48,16,"(1184, 1129, 1130, 1131, 1156, 1157, 1158, 1183, 1185, 1210, 1211, 1212, 1237, 1238, 1239)"
15,48,17,"(1185, 1130, 1131, 1132, 1157, 1158, 1159, 1184, 1186, 1211, 1212, 1213, 1238, 1239, 1240)"
16,48,18,"(1186, 1131, 1132, 1133, 1158, 1159, 1160, 1185, 1187, 1212, 1213, 1214, 1239, 1240, 1241)"
17,48,19,"(1187, 1132, 1133, 1134, 1159, 1160, 1161, 1186, 1188, 1213, 1214, 1215, 1240, 1241, 1242)"
18,48,20,"(1188, 1133, 1134, 1135, 1160, 1161, 1162, 1187, 1189, 1214, 1215, 1216, 1241, 1242, 1243)"
19,48,21,"(1189, 1134, 1135, 1136, 1161, 1162, 1163, 1188, 1190, 1215, 1216, 1217, 1242, 1243, 1244)"
20,48,22,"(1190, 1135, 1136, 1137, 1162, 1163, 1164, 1189, 1191, 1216, 1217, 1218, 1243, 1244, 1245)"
21,48,23,"(1191, 1136, 1137, 1138, 1163, 1164, 1165, 1190, 1192, 1217, 1218, 1219, 1244, 1245, 1246)"
22,48,24,"(1192, 1137, 1138, 1139, 1164, 1165, 1166, 1191, 1193, 1218, 1219, 1220, 1245, 1246, 1247)"
23,48,25,"(1193, 1138, 1139, 1140, 1165, 1166, 1167, 1192, 1194, 1219, 1220, 1221, 1246, 1247, 1248)"
24,48,26,"(1194, 1139, 1140, 1141, 1166, 1167, 1168, 1193, 1195, 1220, 1221, 1222, 1247, 1248, 1249)"
25,48,27,"(1195, 1140, 1141, 1142, 1167, 1168, 1169, 1194, 1196, 1221, 1222, 1223, 1248, 1249, 1250)"
26,48,28,"(1196, 1141, 1142, -1, 1168, 1169, -1, 1195, -1, 1222, 1223, -1, 1249, 1250, -1)"
27,49,2,"(1197, -1, 1143, 1144, -1, 1170, 1171, -1, 1198, -1, 1224, 1225, -1, 1251, 1252)"
28,49,3,"(1198, 1143, 1144, 1145, 1170, 1171, 1172, 1197, 1199, 1224, 1225, 1226, 1251, 1252, 1253)"
29,49,4,"(1199, 1144, 1145, 1146, 1171, 1172, 1173, 1198, 1200, 1225, 1226, 1227, 1252, 1253, 1254)"
30,49,5,"(1200, 1145, 1146, 1147, 1172, 1173, 1174, 1199, 1201, 1226, 1227, 1228, 1253, 1254, 1255)"
31,49,6,"(1201, 1146, 1147, 1148, 1173, 1174, 1175, 1200, 1202, 1227, 1228, 1229, 1254, 1255, 1256)"
32,49,7,"(1202, 1147, 1148, 1149, 1174, 1175, 1176, 1201, 1203, 1228, 1229, 1230, 1255, 1256, 1257)"
33,49,8,"(1203, 1148, 1149, 1150, 1175, 1176, 1177, 1202, 1204, 1229, 1230, 1231, 1256, 1257, 1258)"
34,49,9,"(1204, 1149, 1150, 1151, 1176, 1177, 1178, 1203, 1205, 1230, 1231, 1232, 1257, 1258, 1259)"
35,49,10,"(1205, 1150, 1151, 1152, 1177, 1178, 1179, 1204, 1206, 1231, 1232, 1233, 1258, 1259, 1260)"
36,49,11,"(1206, 1151, 1152, 1153, 1178, 1179, 1180, 1205, 1207, 1232, 1233, 1234, 1259, 1260, 1261)"
37,49,12,"(1207, 1152, 1153, 1154, 1179, 1180, 1181, 1206, 1208, 1233, 1234, 1235, 1260, 1261, 1262)"
38,49,13,"(1208, 1153, 1154, 1155, 1180, 1181, 1182, 1207, 1209, 1234, 1235, 1236, 1261, 1262, 1263)"
39,49,14,"(1209, 1154, 1155, 1156, 1181, 1182, 1183, 1208, 1210, 1235, 1236, 1237, 1262, 1263, 1264)"
40,49,15,"(1210, 1155, 1156, 1157, 1182, 1183, 1184, 1209, 1211, 1236, 1237, 1238, 1263, 1264, 1265)"
41,49,16,"(1211, 1156, 1157, 1158, 1183, 1184, 1185, 1210, 1212, 1237, 1238, 1239, 1264, 1265, 1266)"
42,49,17,"(1212, 1157, 1158, 1159, 1184, 1185, 1186, 1211, 1213, 1238, 1239, 1240, 1265, 1266, 1267)"
43,49,18,"(1213, 1158, 1159, 1160, 1185, 1186, 1187, 1212, 1214, 1239, 1240, 1241, 1266, 1267, 1268)"
44,49,19,"(1214, 1159, 1160, 1161, 1186, 1187, 1188, 1213, 1215, 1240, 1241, 1242, 1267, 1268, 1269)"
45,49,20,"(1215, 1160, 1161, 1162, 1187, 1188, 1189, 1214, 1216, 1241, 1242, 1243, 1268, 1269, 1270)"
46,49,21,"(1216, 1161, 1162, 1163, 1188, 1189, 1190, 1215, 1217, 1242, 1243, 1244, 1269, 1270, 1271)"
47,49,22,"(1217, 1162, 1163, 1164, 1189, 1190, 1191, 1216, 1218, 1243, 1244, 1245, 1270, 1271, 1272)"
48,49,23,"(1218, 1163, 1164, 1165, 1190, 1191, 1192, 1217, 1219, 1244, 1245, 1246, 1271, 1272, 1273)"
49,49,24,"(1219, 1164, 1165, 1166, 1191, 1192, 1193, 1218, 1220, 1245, 1246, 1247, 1272, 1273, 1274)"
50,49,25,"(1220, 1165, 1166, 1167, 1192, 1193, 1194, 1219, 1221, 1246, 1247, 1248, 1273, 1274, 1275)"
51,49,26,"(1221, 1166, 1167, 1168, 1193, 1194, 1195, 1220, 1222, 1247, 1248, 1249, 1274, 1275, 1276)"
52,49,27,"(1222, 1167, 1168, 1169, 1194, 1195, 1196, 1221, 1223, 1248, 1249, 1250, 1275, 1276, 1277)"
53,49,28,"(1223, 1168, 1169, -1, 1195, 1196, -1, 1222, -1, 1249, 1250, -1, 1276, 1277, -1)"
54,50,2,"(1224, -1, 1170, 1171, -1, 1197, 1198, -1, 1225, -1, 1251, 1252, -1, 1278, 1279)"
55,50,3,"(1225, 1170, 1171, 1172, 1197, 1198, 1199, 1224, 1226, 1251, 1252, 1253, 1278, 1279, 1280)"
56,50,4,"(1226, 1171, 1172, 1173, 1198, 1199, 1200, 1225, 1227, 1252, 1253, 1254, 1279, 1280, 1281)"
57,50,5,"(1227, 1172, 1173, 1174, 1199, 1200, 1201, 1226, 1228, 1253, 1254, 1255, 1280, 1281, 1282)"
58,50,6,"(1228, 1173, 1174, 1175, 1200, 1201, 1202, 1227, 1229, 1254, 1255, 1256, 1281, 1282, 1283)"
59,50,7,"(1229, 1174, 1175, 1176, 1201, 1202, 1203, 1228, 1230, 1255, 1256, 1257, 1282, 1283, 1284)"
60,50,8,"(1230, 1175, 1176, 1177, 1202, 1203, 1204, 1229, 1231, 1256, 1257, 1258, 1283, 1284, 1285)"
61,50,9,"(1231, 1176, 1177, 1178, 1203, 1204, 1205, 1230, 1232, 1257, 1258, 1259, 1284, 1285, 1286)"
62,50,10,"(1232, 1177, 1178, 1179, 1204, 1205, 1206, 1231, 1233, 1258, 1259, 1260, 1285, 1286, 1287)"
63,50,11,"(1233, 1178, 1179, 1180, 1205, 1206, 1207, 1232, 1234, 1259, 1260, 1261, 1286, 1287, 1288)"
64,50,12,"(1234, 1179, 1180, 1181, 1206, 1207, 1208, 1233, 1235, 1260, 1261, 1262, 1287, 1288, 1289)"
65,50,13,"(1235, 1180, 1181, 1182, 1207, 1208, 1209, 1234, 1236, 1261, 1262, 1263, 1288, 1289, 1290)"
66,50,14,"(1236, 1181, 1182, 1183, 1208, 1209, 1210, 1235, 1237, 1262, 1263, 1264, 1289, 1290, 1291)"
67,50,15,"(1237, 1182, 1183, 1184, 1209, 1210, 1211, 1236, 1238, 1263, 1264, 1265, 1290, 1291, 1292)"
68,50,16,"(1238, 1183, 1184, 1185, 1210, 1211, 1212, 1237, 1239, 1264, 1265, 1266, 1291, 1292, 1293)"
69,50,17,"(1239, 1184, 1185, 1186, 1211, 1212, 1213, 1238, 1240, 1265, 1266, 1267, 1292, 1293, 1294)"
70,50,18,"(1240, 1185, 1186, 1187, 1212, 1213, 1214, 1239, 1241, 1266, 1267, 1268, 1293, 1294, 1295)"
71,50,19,"(1241, 1186, 1187, 1188, 1213, 1214, 1215, 1240, 1242, 1267, 1268, 1269, 1294, 1295, 1296)"
72,50,20,"(1242, 1187, 1188, 1189, 1214, 1215, 1216, 1241, 1243, 1268, 1269, 1270, 1295, 1296, 1297)"
73,50,21,"(1243, 1188, 1189, 1190, 1215, 1216, 1217, 1242, 1244, 1269, 1270, 1271, 1296, 1297, 1298)"
74,50,22,"(1244, 1189, 1190, 1191, 1216, 1217, 1218, 1243, 1245, 1270, 1271, 1272, 1297, 1298, 1299)"
75,50,23,"(1245, 1190, 1191, 1192, 1217, 1218, 1219, 1244, 1246, 1271, 1272, 1273, 1298, 1299, 1300)"
76,50,24,"(1246, 1191, 1192, 1193, 1218, 1219, 1220, 1245, 1247, 1272, 1273, 1274, 1299, 1300, 1301)"
77,50,25,"(1247, 1192, 1193, 1194, 1219, 1220, 1221, 1246, 1248, 1273, 1274, 1275, 1300, 1301, 1302)"
78,50,26,"(1248, 1193, 1194, 1195, 1220, 1221, 1222, 1247, 1249, 1274, 1275, 1276, 1301, 1302, 1303)"
79,50,27,"(1249, 1194, 1195, 1196, 1221, 1222, 1223, 1248, 1250, 1275, 1276, 1277, 1302, 1303, 1304)"
80,50,28,"(1250, 1195, 1196, -1, 1222, 1223, -1, 1249, -1, 1276, 1277, -1, 1303, 1304, -1)"
81,51,2,"(1251, -1, 1197, 1198, -1, 1224, 1225, -1, 1252, -1, 1278, 1279, -1, 1305, 1306)"
82,51,3,"(1252, 1197, 1198, 1199, 1224, 1225, 1226, 1251, 1253, 1278, 1279, 1280, 1305, 1306, 1307)"
